time	oxygen	pressure	temperature	salinity
29-07-2019 21:51:55	79.803,00	10.011,00	24.279,00	37.26
30-07-2019 03:19:41	79.771,00	11.039,00	24.273,00	37.26
30-07-2019 03:19:45	79.754,00	10.936,00	24.276,00	37.264,00
30-07-2019 03:19:48	79.789,00	11.066,00	24.283,00	37.262,00
30-07-2019 03:19:51	79.739,00	10.918,00	24.281,00	37.262,00
30-07-2019 03:19:54	79.81	11.028,00	24.284,00	37.257,00
30-07-2019 03:19:58	79.732,00	10.956,00	24.281,00	37.261,00
30-07-2019 03:20:01	79.785,00	11.021,00	24.266,00	37.267,00
30-07-2019 03:20:05	79.778,00	10.94	24.281,00	37.262,00
30-07-2019 03:20:08	79.817,00	11.045,00	24.282,00	37.262,00
30-07-2019 03:20:12	79.747,00	10.984,00	24.281,00	37.261,00
30-07-2019 03:20:14	79.757,00	11.002,00	24.276,00	37.264,00
30-07-2019 03:20:18	79.725,00	10.995,00	24.28	37.262,00
30-07-2019 03:20:21	79.764,00	11.013,00	24.281,00	37.264,00
30-07-2019 03:20:23	79.764,00	12.014,00	24.28	37.263,00
30-07-2019 03:20:24	79.69	11.961,00	24.279,00	37.259,00
30-07-2019 03:20:26	79.69	10.985,00	24.281,00	37.265,00
30-07-2019 03:20:29	79.761,00	11.014,00	24.286,00	37.26
30-07-2019 03:20:50	79.63	12.019,00	24.266,00	37.243,00
30-07-2019 03:20:50	79.619,00	11.987,00	24.26	37.249,00
30-07-2019 03:20:53	79.591,00	10.986,00	24.271,00	37.259,00
30-07-2019 03:20:53	79.602,00	11.015,00	24.268,00	37.261,00
30-07-2019 03:20:56	79.658,00	12.012,00	24.266,00	37.256,00
30-07-2019 03:20:58	79.665,00	11.993,00	24.264,00	37.266,00
30-07-2019 03:21:03	79.641,00	12.047,00	24.258,00	37.257,00
30-07-2019 03:21:03	79.605,00	11.997,00	24.26	37.254,00
30-07-2019 03:21:06	79.602,00	10.981,00	24.257,00	37.254,00
30-07-2019 03:21:06	79.609,00	11.045,00	24.257,00	37.252,00
30-07-2019 03:21:08	79.616,00	12.049,00	24.258,00	37.255,00
30-07-2019 03:21:10	79.634,00	11.893,00	24.266,00	37.258,00
30-07-2019 03:21:24	79.461,00	12.012,00	24.27	37.258,00
30-07-2019 03:21:27	79.411,00	11.99	24.25	37.25
30-07-2019 03:21:31	79.454,00	12.006,00	24.279,00	37.265,00
30-07-2019 03:21:33	79.482,00	11.984,00	24.282,00	37.261,00
30-07-2019 03:21:36	79.464,00	12.013,00	24.281,00	37.264,00
30-07-2019 03:21:38	79.432,00	11.978,00	24.279,00	37.261,00
30-07-2019 03:21:43	79.393,00	12.046,00	24.274,00	37.26
