time	oxygen	pressure	temperature	salinity
29-07-2019 21:51:55	79.80	10.01	24.28	37.26
30-07-2019 03:19:41	79.77	11.04	24.27	37.26
30-07-2019 03:19:45	79.75	10.94	24.28	37.26
30-07-2019 03:19:48	79.79	11.07	24.28	37.26
30-07-2019 03:19:51	79.74	10.92	24.28	37.26
30-07-2019 03:19:54	79.81	11.03	24.28	37.26
30-07-2019 03:19:58	79.73	10.96	24.28	37.26
30-07-2019 03:20:01	79.79	11.02	24.27	37.27
30-07-2019 03:20:05	79.78	10.94	24.28	37.26
30-07-2019 03:20:08	79.82	11.05	24.28	37.26
30-07-2019 03:20:12	79.75	10.98	24.28	37.26
30-07-2019 03:20:14	79.76	11.00	24.28	37.26
30-07-2019 03:20:18	79.73	11.00	24.28	37.26
30-07-2019 03:20:21	79.76	11.01	24.28	37.26
30-07-2019 03:20:23	79.76	12.01	24.28	37.26
30-07-2019 03:20:24	79.69	11.96	24.28	37.26
30-07-2019 03:20:26	79.69	10.99	24.28	37.27
30-07-2019 03:20:29	79.76	11.01	24.29	37.26
30-07-2019 03:20:50	79.63	12.02	24.27	37.24
30-07-2019 03:20:50	79.62	11.99	24.26	37.25
30-07-2019 03:20:53	79.59	10.99	24.27	37.26
30-07-2019 03:20:53	79.60	11.02	24.27	37.26
30-07-2019 03:20:56	79.66	12.01	24.27	37.26
30-07-2019 03:20:58	79.67	11.99	24.26	37.27
30-07-2019 03:21:03	79.64	12.05	24.26	37.26
30-07-2019 03:21:03	79.61	12.00	24.26	37.25
30-07-2019 03:21:06	79.60	10.98	24.26	37.25
30-07-2019 03:21:06	79.61	11.05	24.26	37.25
30-07-2019 03:21:08	79.62	12.05	24.26	37.26
30-07-2019 03:21:10	79.63	11.89	24.27	37.26
30-07-2019 03:21:24	79.46	12.01	24.27	37.26
30-07-2019 03:21:27	79.41	11.99	24.25	37.25
30-07-2019 03:21:31	79.45	12.01	24.28	37.27
30-07-2019 03:21:33	79.48	11.98	24.28	37.26
30-07-2019 03:21:36	79.46	12.01	24.28	37.26
30-07-2019 03:21:38	79.43	11.98	24.28	37.26
30-07-2019 03:21:43	79.39	12.05	24.27	37.26
30-07-2019 03:21:46	79.33	11.93	24.27	37.26
30-07-2019 03:21:50	79.43	12.03	24.27	37.26
30-07-2019 03:21:53	79.42	12.00	24.27	37.26
30-07-2019 03:21:54	79.42	12.02	24.27	37.26
30-07-2019 03:21:57	79.44	13.02	24.28	37.26
30-07-2019 03:22:00	79.43	14.06	24.27	37.26
30-07-2019 03:22:02	79.41	15.10	24.28	37.26
30-07-2019 03:22:04	79.48	16.06	24.27	37.26
30-07-2019 03:22:06	79.52	17.04	24.28	37.26
30-07-2019 03:22:07	79.55	18.03	24.28	37.26
30-07-2019 03:22:08	79.59	19.06	24.28	37.26
30-07-2019 03:22:09	79.65	20.03	24.28	37.26
30-07-2019 03:22:12	79.61	21.03	24.28	37.26
30-07-2019 03:22:13	79.56	22.09	24.28	37.26
30-07-2019 03:22:14	79.57	23.12	24.28	37.26
30-07-2019 03:22:15	79.61	24.04	24.28	37.26
30-07-2019 03:22:16	79.63	25.12	24.28	37.25
30-07-2019 03:22:16	79.65	26.15	24.27	37.26
30-07-2019 03:22:17	79.67	27.07	24.27	37.24
30-07-2019 03:22:20	79.60	28.00	24.23	37.23
30-07-2019 03:22:21	79.53	29.04	24.22	37.23
30-07-2019 03:22:22	79.50	30.01	24.19	37.21
