,time,oxygen,pressure,temperature,salinity
147.2218342661092,30-07-2019 03:24:05,76.6,118.16,23.51,37.06
147.9484958959525,30-07-2019 03:24:07,76.39,120.06,23.17,36.71
148.80706657550786,30-07-2019 03:24:09,75.43,121.0,22.74,36.77
149.75855207197975,30-07-2019 03:24:10,74.66,122.1,22.45,36.81
150.767195940451,30-07-2019 03:24:11,74.22,123.13,22.23,36.71
151.80544912503234,30-07-2019 03:24:12,73.85,124.01,22.08,36.72
152.85416777709477,30-07-2019 03:24:13,73.31,125.09,21.94,36.75
153.90150741765999,30-07-2019 03:24:14,72.86,126.1,21.88,36.75
154.94127287453233,30-07-2019 03:24:15,72.6,127.06,21.83,36.76
155.9712124811136,30-07-2019 03:24:16,72.31,128.11,21.78,36.74
156.99152828311762,30-07-2019 03:24:17,72.05,129.03,21.71,36.72
158.00371778898358,30-07-2019 03:24:18,71.86,130.01,21.67,36.74
159.00976180268813,30-07-2019 03:24:20,71.7,131.02,21.64,36.71
160.01161625786767,30-07-2019 03:24:22,71.29,132.08,21.62,36.7
161.01094147761776,30-07-2019 03:24:23,71.08,133.14,21.59,36.71
162.00899866613565,30-07-2019 03:24:24,70.94,134.09,21.54,36.66
163.00665161205748,30-07-2019 03:24:25,70.84,135.04,21.47,36.65
164.00442494353538,30-07-2019 03:24:26,70.82,136.14,21.4,36.66
165.00258450768655,30-07-2019 03:24:27,70.88,137.06,21.37,36.67
166.00121809723856,30-07-2019 03:24:28,70.85,138.02,21.36,36.66
167.00030471808984,30-07-2019 03:24:29,70.75,139.04,21.34,36.64
167.99976767749624,30-07-2019 03:24:30,70.61,140.01,21.28,36.62
168.99951127889784,30-07-2019 03:24:32,70.39,141.07,21.22,36.62
169.99944337295418,30-07-2019 03:24:33,70.32,142.11,21.2,36.63
170.99948701973457,30-07-2019 03:24:34,70.3,143.12,21.18,36.63
171.99958459015866,30-07-2019 03:24:35,70.31,144.03,21.17,36.61
172.99969719412292,30-07-2019 03:24:37,70.29,145.01,21.16,36.61
173.99980166829096,30-07-2019 03:24:38,70.16,146.03,21.14,36.61
174.99988668106735,30-07-2019 03:24:39,70.11,147.06,21.11,36.6
175.99994892293208,30-07-2019 03:24:40,70.01,148.09,21.03,36.55
176.99998989248033,30-07-2019 03:24:41,69.96,149.08,20.97,36.57
178.00001346772876,30-07-2019 03:24:42,69.9,150.06,20.94,36.58
179.00002425172877,30-07-2019 03:24:43,69.8,151.01,20.91,36.57
180.000026574859,30-07-2019 03:24:44,69.71,152.05,20.88,36.56
181.00002399555493,30-07-2019 03:24:47,69.42,153.08,20.84,36.56
182.0000191421385,30-07-2019 03:24:48,69.26,154.14,20.83,36.57
183.00001376159707,30-07-2019 03:24:48,69.18,155.05,20.83,36.58
184.00000887303364,30-07-2019 03:24:49,69.15,156.03,20.83,36.59
185.00000495547317,30-07-2019 03:24:50,69.24,157.11,20.84,36.59
186.00000212711203,30-07-2019 03:24:51,69.26,158.04,20.85,36.59
187.0000002940852,30-07-2019 03:24:52,69.29,159.15,20.84,36.59
